Dia,Vendas,Ticket Médio,Lucro Bruto,Faturamento
14/jan,1,"R$ 1,00 ","R$ 0,40 ","R$ 1,00 "
15/jan,74,"R$ 9,31 ","R$ 394,50 ","R$ 689,00 "
16/jan,73,"R$ 13,77 ","R$ 591,75 ","R$ 1.005,00 "
17/jan,66,"R$ 10,89 ","R$ 426,35 ","R$ 719,00 "
18/jan,47,"R$ 19,36 ","R$ 690,15 ","R$ 910,00 "
20/jan,44,"R$ 13,14 ","R$ 365,36 ","R$ 578,00 "
21/jan,81,"R$ 11,59 ","R$ 603,05 ","R$ 938,50 "
22/jan,70,"R$ 13,79 ","R$ 540,20 ","R$ 965,00 "
23/jan,69,"R$ 11,72 ","R$ 504,55 ","R$ 808,50 "
24/jan,74,"R$ 11,16 ","R$ 512,30 ","R$ 826,00 "
25/jan,39,"R$ 13,18 ","R$ 267,75 ","R$ 514,00 "
27/jan,36,"R$ 13,75 ","R$ 304,65 ","R$ 495,00 "
28/jan,93,"R$ 11,27 ","R$ 628,65 ","R$ 1.048,50 "
30/jan,97,"R$ 10,67 ","R$ 591,95 ","R$ 1.035,00 "
31/jan,62,"R$ 13,16 ","R$ 456,75 ","R$ 816,00 "
