Produto,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quantidade,Descontos,ValorPago,Total Vendas,Comissão,NCM,CEST,Mês
SALGADO FRITO DIVERSOS,000001-WP,,ALIMENTO,,-3523.0,"R$ 1,00 ","R$ 0,60 ","-R$ 2.113,80","-R$ 3.523,00","R$ 36.140,00","R$ 0,00 ","R$ 3.614,00","R$ 3.614,00 ","R$ 0,00 ",,,Janeiro
SALGADO FORNO DIVERSOS,000002-WP,,ALIMENTO,,-699.0,"R$ 6,00 ","R$ 2,75 ","-R$ 1.922,25","-R$ 4.194,00","R$ 8.370,00","R$ 3,28 ","R$ 5.018,72","R$ 5.022,00 ","R$ 0,00 ",,,Janeiro
SALGADO CENTO CRU DIVERSOS,000003-WP,,ALIMENTO,,1999.0,"R$ 55,00 ","R$ 0,00 ","R$ 0,00","R$ 109.945,00 ","R$ 10,00","R$ 27,50 ","R$ 27,50","R$ 55,00 ","R$ 0,00 ",,,Janeiro
SALGADO FRITO CENTO DIVERSOS,000004-WP,,ALIMENTO,,1995.0,"R$ 60,00 ","R$ 0,00 ","R$ 0,00","R$ 119.700,00 ","R$ 40,00","R$ 30,00 ","R$ 210,00","R$ 240,00 ","R$ 0,00 ",,,Janeiro
TORTA LIMÃO FATIA,000005-WP,,DOCES,,30.0,"R$ 7,00 ","R$ 0,00 ","R$ 0,00","R$ 210,00 ","R$ 200,00","R$ 0,00 ","R$ 140,00","R$ 140,00 ","R$ 0,00 ",,,Janeiro
TORTA DE MARACUJA FATIA,000006-WP,,DOCES,,44.0,"R$ 7,00 ","R$ 0,00 ","R$ 0,00","R$ 308,00 ","R$ 50,00","R$ 0,00 ","R$ 35,00","R$ 35,00 ","R$ 0,00 ",,,Janeiro
PUDIM FATIA,000007-WP,,DOCES,,33.0,"R$ 7,00 ","R$ 0,00 ","R$ 0,00","R$ 231,00 ","R$ 160,00","R$ 0,00 ","R$ 112,00","R$ 112,00 ","R$ 0,00 ",,,Janeiro
BOLO FATIA DIVERSOS,000008-WP,,DOCES,,-10.0,"R$ 7,00 ","R$ 0,00 ","R$ 0,00","-R$ 70,00","R$ 100,00","R$ 0,00 ","R$ 70,00","R$ 70,00 ","R$ 0,00 ",,,Janeiro
SANDUICHE NATURAL FRANGO,000009-WP,,PRODUTOS DA CASA,,-11.0,"R$ 8,00 ","R$ 0,00 ","R$ 0,00","-R$ 88,00","R$ 280,00","R$ 0,00 ","R$ 224,00","R$ 224,00 ","R$ 0,00 ",,,Janeiro
SANDUICHE NATURAL ATUM,000010-WP,,PRODUTOS DA CASA,,19.0,"R$ 8,00 ","R$ 0,00 ","R$ 0,00","R$ 152,00 ","R$ 10,00","R$ 0,00 ","R$ 8,00","R$ 8,00 ","R$ 0,00 ",,,Janeiro
EMPADA P FRANGO,000011-WP,,PRODUTOS DA CASA,,5.0,"R$ 4,00 ","R$ 0,00 ","R$ 0,00","R$ 20,00 ","R$ 50,00","R$ 0,00 ","R$ 20,00","R$ 20,00 ","R$ 0,00 ",,,Janeiro
EMPADA P CAMARÃO,000012-WP,,PRODUTOS DA CASA,,2.0,"R$ 4,00 ","R$ 0,00 ","R$ 0,00","R$ 8,00 ","R$ 80,00","R$ 0,00 ","R$ 32,00","R$ 32,00 ","R$ 0,00 ",,,Janeiro
