Produto;Saldo Inicial;Entradas;Devoluções;Compras;Saídas;Prêmio;Quant. Vendas;Valor Vendas (R$);Lucro (R$);Prejuízo (R$);Estoque Final
SALGADO FRITO DIVERSOS;-3414.0;;;;;;8497.0;8496.71;3398.51;0.0;-11911.0
SALGADO FORNO DIVERSOS;-637.0;;;;;;1561.0;9357.58;5064.83;0.0;-2198.0
SALGADO FRITO CENTO DIVERSOS;1996.0;;;;;;12.0;720.0;720.0;0.0;1984.0
TORTA LIMÃO FATIA;30.0;;;;;;28.0;196.0;196.0;0.0;2.0
TORTA DE MARACUJA FATIA;45.0;;;;;;11.0;77.0;77.0;0.0;34.0
PUDIM FATIA;34.0;;;;;;25.0;175.0;175.0;0.0;9.0
BOLO FATIA DIVERSOS;0.0;;;;;;9.0;63.0;63.0;0.0;-9.0
SANDUICHE NATURAL FRANGO;-8.0;;;;;;55.0;440.0;440.0;0.0;-63.0
SANDUICHE NATURAL ATUM;0.0;;;;;;3.0;24.0;24.0;0.0;-3.0
EMPADA P FRANGO;0.0;;;;;;31.0;124.0;124.0;0.0;-31.0
EMPADA P CAMARÃO;2.0;;;;;;21.0;83.73;83.73;0.0;-19.0
EMPADA P QUEIJO;2.0;;;;;;3.0;12.0;12.0;0.0;-1.0
EMPADÃO FRANGO;5.0;;;;;;18.0;126.0;126.0;0.0;-13.0
EMPADÃO DE CAMARÃO;0.0;;;;;;32.0;256.0;256.0;0.0;-32.0
FOLHEADO DE FRANGO;0.0;;;;;;3.0;21.0;21.0;0.0;-3.0
FOLHEADO DE FRANGO COM REQUEIJÃO;9.0;;;;;;12.0;79.65;79.65;0.0;-3.0
SALGADO FRITO GRANDE DIVERSOS;84.0;;;;;;94.0;562.9;562.9;0.0;-10.0
SALGADO FRITO OVO;2.0;;;;;;28.0;70.0;70.0;0.0;-26.0
BOLINHO DA BACALHAU PEQUENO FRITO;30.0;;;;;;49.0;24.5;24.5;0.0;-19.0
DOCINHO DIVERSOS;0.0;;;;;;1.0;3.0;3.0;0.0;-1.0
REFRIGERANTE COCA 1,5;16.0;;;;;;7.0;70.0;70.0;0.0;9.0
REFRIGARANTE COCA KS;8.0;;;;;;35.0;174.58;174.58;0.0;-27.0
REFRGERANTE COCA LATA 350ML;13.0;;;;;;21.0;126.0;126.0;0.0;-8.0
