Descrição;Código;Fornecedor;Categoria;Unidade;Estoque Atual;Preço de Venda;Custo Unitário;Custo Total;Preço Total;Quant.Vendas;Descontos;Valor Pago;Total Vendas;Comissão;NCM;CEST
SALGADO FRITO DIVERSOS;000001-WP;;ALIMENTO;;-11163.0;1.0;0.6;-6697.8;-11163.0;8497.0;0.29;8496.71;8497.0;0.0;;
SALGADO FORNO DIVERSOS;000002-WP;;ALIMENTO;;-2044.0;6.0;2.75;-5621.0;-12264.0;1561.0;8.42;9357.58;9366.0;0.0;;
SALGADO CENTO CRU DIVERSOS;000003-WP;;ALIMENTO;;1999.0;55.0;0.0;0.0;109945.0;;;;;;;
SALGADO FRITO CENTO DIVERSOS;000004-WP;;ALIMENTO;;1986.0;60.0;0.0;0.0;119160.0;12.0;0.0;720.0;720.0;0.0;;
TORTA LIMÃO FATIA;000005-WP;;DOCES;;4.0;7.0;0.0;0.0;28.0;28.0;0.0;196.0;196.0;0.0;;
TORTA DE MARACUJA FATIA;000006-WP;;DOCES;;37.0;7.0;0.0;0.0;259.0;11.0;0.0;77.0;77.0;0.0;;
PUDIM FATIA;000007-WP;;DOCES;;13.0;7.0;0.0;0.0;91.0;25.0;0.0;175.0;175.0;0.0;;
BOLO FATIA DIVERSOS;000008-WP;;DOCES;;-19.0;7.0;0.0;0.0;-133.0;9.0;0.0;63.0;63.0;0.0;;
SANDUICHE NATURAL FRANGO;000009-WP;;PRODUTOS DA CASA;;-54.0;8.0;0.0;0.0;-432.0;55.0;0.0;440.0;440.0;0.0;;
SANDUICHE NATURAL ATUM;000010-WP;;PRODUTOS DA CASA;;16.0;8.0;0.0;0.0;128.0;3.0;0.0;24.0;24.0;0.0;;
EMPADA P FRANGO;000011-WP;;PRODUTOS DA CASA;;-26.0;4.0;0.0;0.0;-104.0;31.0;0.0;124.0;124.0;0.0;;
EMPADA P CAMARÃO;000012-WP;;PRODUTOS DA CASA;;-19.0;4.0;0.0;0.0;-76.0;21.0;0.27;83.73;84.0;0.0;;
EMPADA P QUEIJO;000013-WP;;PRODUTOS DA CASA;;-1.0;4.0;0.0;0.0;-4.0;3.0;0.0;12.0;12.0;0.0;;
EMPADÃO FRANGO;000014-WP;;PRODUTOS DA CASA;;-5.0;7.0;0.0;0.0;-35.0;18.0;0.0;126.0;126.0;0.0;;
EMPADÃO DE CAMARÃO;000015-WP;;PRODUTOS DA CASA;;-18.0;8.0;0.0;0.0;-144.0;32.0;0.0;256.0;256.0;0.0;;
FOLHEADO DE FRANGO;000016-WP;;ALIMENTO;;4.0;7.0;0.0;0.0;28.0;3.0;0.0;21.0;21.0;0.0;;
FOLHEADO DE FRANGO COM REQUEIJÃO;000017-WP;;ALIMENTO;;1.0;7.0;0.0;0.0;7.0;12.0;4.35;79.65;84.0;0.0;;
FOLHEADO DE QUEIJO E PRESUNTO;000018-WP;;ALIMENTO;;10.0;7.0;0.0;0.0;70.0;;;;;;;
PASTELZINHO;000019-WP;;PRODUTOS DA CASA;;100.0;0.5;0.0;0.0;50.0;;;;;;;
